NO_OF_FRAMES	1000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-09-15, 11:01:47	5003.12139961
DATA_INCLUDED	3D
MARKER_NAMES	Distal phalanx	DIP joint	PIP joint	MP joint	Scaphoid
148.696	162.924	195.616	143.472	179.327	208.422	139.599	207.458	215.911	139.249	235.490	217.427	138.536	263.724	216.948
148.710	162.925	195.630	143.487	179.338	208.431	139.611	207.470	215.916	139.260	235.498	217.425	138.539	263.733	216.940
148.735	162.946	195.644	143.510	179.360	208.427	139.629	207.489	215.919	139.280	235.516	217.434	138.549	263.755	216.937
148.755	162.951	195.649	143.356	179.662	208.360	139.650	207.507	215.910	139.809	235.317	217.649	138.564	263.770	216.934
148.773	162.987	195.629	143.377	179.684	208.352	139.671	207.527	215.912	139.827	235.341	217.641	138.583	263.782	216.937
148.787	162.998	195.633	143.387	179.705	208.360	139.677	207.544	215.909	139.834	235.363	217.648	138.585	263.801	216.928
148.788	163.007	195.642	143.385	179.713	208.361	139.676	207.553	215.918	139.829	235.367	217.641	138.585	263.820	216.927
148.790	163.005	195.634	143.387	179.709	208.362	139.668	207.559	215.914	139.829	235.369	217.645	138.585	263.817	216.935
148.774	163.005	195.628	143.375	179.712	208.355	139.669	207.546	215.916	139.815	235.367	217.647	138.569	263.815	216.926
148.765	162.999	195.617	143.366	179.691	208.351	139.657	207.538	215.905	139.802	235.354	217.636	138.570	263.802	216.938
148.766	162.982	195.622	143.364	179.687	208.345	139.645	207.537	215.888	139.795	235.353	217.629	138.558	263.794	216.930
148.780	162.979	195.611	143.378	179.688	208.337	139.661	207.535	215.893	139.809	235.349	217.631	138.562	263.801	216.926
148.788	162.994	195.606	143.388	179.700	208.333	139.678	207.539	215.899	139.812	235.357	217.630	138.570	263.803	216.928
148.815	162.934	195.536	143.402	179.702	208.336	139.780	207.529	215.798	139.843	235.362	217.613	138.550	263.811	216.954
148.833	162.937	195.536	143.412	179.713	208.332	139.804	207.532	215.798	139.850	235.366	217.613	138.556	263.818	216.945
148.847	162.932	195.545	143.441	179.702	208.339	139.827	207.533	215.792	139.872	235.369	217.605	138.573	263.822	216.949
148.861	162.932	195.535	143.445	179.706	208.339	139.845	207.531	215.791	139.875	235.368	217.603	138.578	263.819	216.946
148.854	162.928	195.528	143.445	179.706	208.339	139.844	207.525	215.785	139.875	235.368	217.603	138.580	263.817	216.943
148.836	162.916	195.517	143.427	179.695	208.329	139.830	207.511	215.785	139.867	235.356	217.603	138.567	263.809	216.944
148.820	162.916	195.511	143.403	179.685	208.331	139.813	207.496	215.784	139.849	235.351	217.607	138.559	263.791	216.961
148.804	162.901	195.512	143.379	179.683	208.332	139.802	207.488	215.781	139.822	235.343	217.614	138.528	263.789	216.959
148.783	162.903	195.519	143.359	179.673	208.330	139.777	207.481	215.784	139.808	235.336	217.610	138.522	263.783	216.961
148.771	162.902	195.519	143.349	179.672	208.333	139.770	207.475	215.789	139.796	235.333	217.625	138.498	263.782	216.962
148.764	162.894	195.532	143.335	179.687	208.336	139.768	207.484	215.800	139.793	235.340	217.639	138.492	263.785	216.967
148.764	162.900	195.537	143.339	179.684	208.340	139.771	207.483	215.800	139.781	235.345	217.621	138.479	263.797	216.963
