"ÉfÅ[É^ID","éûä‘(s)","MP joint(deg)",
1,0.000000,173.137677,
2,0.008333,173.112925,
3,0.016667,173.085225,
4,0.025000,173.068377,
5,0.033333,173.072663,
6,0.041667,173.095327,
7,0.050000,173.122057,
8,0.058333,173.139060,
9,0.066667,173.142326,
10,0.075000,173.137314,
11,0.083333,173.133270,
12,0.091667,173.136641,
13,0.100000,173.146793,
14,0.108333,173.157414,
15,0.116667,173.162089,
16,0.125000,173.158317,
17,0.133333,173.147838,
18,0.141667,173.135400,
19,0.150000,173.126719,
20,0.158333,173.125241,
21,0.166667,173.129845,
22,0.175000,173.135721,
23,0.183333,173.137245,
24,0.191667,173.130451,
25,0.200000,173.114612,
26,0.208333,173.093384,
27,0.216667,173.075073,
28,0.225000,173.070577,
29,0.233333,173.087996,
30,0.241667,173.126073,
31,0.250000,173.172278,
32,0.258333,173.209180,
33,0.266667,173.224422,
34,0.275000,173.216773,
35,0.283333,173.196608,
36,0.291667,173.180612,
37,0.300000,173.179780,
38,0.308333,173.189279,
39,0.316667,173.192433,
40,0.325000,173.175041,
41,0.333333,173.135565,
42,0.341667,173.086149,
43,0.350000,173.046415,
44,0.358333,173.031351,
45,0.366667,173.041029,
46,0.375000,173.062230,
47,0.383333,173.080130,
48,0.391667,173.088732,
49,0.400000,173.092803,
50,0.408333,173.102102,
51,0.416667,173.123121,
52,0.425000,173.154249,
53,0.433333,173.186918,
54,0.441667,173.210515,
55,0.450000,173.217122,
56,0.458333,173.203997,
57,0.466667,173.174128,
58,0.475000,173.136130,
59,0.483333,173.103533,
60,0.491667,173.091326,
61,0.500000,173.108495,
62,0.508333,173.150763,
63,0.516667,173.201113,
64,0.525000,173.239539,
65,0.533333,173.253613,
66,0.541667,173.241407,
67,0.550000,173.208170,
68,0.558333,173.163316,
69,0.566667,173.119464,
70,0.575000,173.090169,
71,0.583333,173.084334,
72,0.591667,173.100430,
73,0.600000,173.126362,
74,0.608333,173.146447,
75,0.616667,173.148966,
76,0.625000,173.128323,
77,0.633333,173.085344,
78,0.641667,173.029965,
79,0.650000,172.980288,
80,0.658333,172.952838,
81,0.666667,172.952235,
82,0.675000,172.970786,
83,0.683333,172.996481,
84,0.691667,173.020474,
85,0.700000,173.039281,
86,0.708333,173.053141,
87,0.716667,173.063729,
88,0.725000,173.072810,
89,0.733333,173.081800,
90,0.741667,173.091474,
91,0.750000,173.101419,
92,0.758333,173.109826,
93,0.766667,173.114575,
94,0.775000,173.115478,
95,0.783333,173.115999,
96,0.791667,173.122570,
97,0.800000,173.140891,
98,0.808333,173.171065,
99,0.816667,173.205723,
100,0.825000,173.233386,
101,0.833333,173.244063,
102,0.841667,173.233636,
103,0.850000,173.206713,
104,0.858333,173.175584,
105,0.866667,173.152223,
106,0.875000,173.139203,
107,0.883333,173.129011,
108,0.891667,173.111289,
109,0.900000,173.080919,
110,0.908333,173.043088,
111,0.916667,173.012280,
112,0.925000,173.002936,
113,0.933333,173.018722,
114,0.941667,173.051056,
115,0.950000,173.086684,
116,0.958333,173.115309,
117,0.966667,173.132524,
118,0.975000,173.139263,
119,0.983333,173.139149,
120,0.991667,173.135122,
121,1.000000,173.127921,
122,1.008333,173.117458,
123,1.016667,173.105693,
124,1.025000,173.098479,
125,1.033333,173.103670,
126,1.041667,173.125391,
127,1.050000,173.159448,
128,1.058333,173.194989,
129,1.066667,173.220878,
130,1.075000,173.231221,
131,1.083333,173.227932,
132,1.091667,173.220420,
133,1.100000,173.220528,
134,1.108333,173.233908,
135,1.116667,173.255405,
136,1.125000,173.272935,
137,1.133333,173.275025,
138,1.141667,173.256584,
139,1.150000,173.222554,
140,1.158333,173.187223,
141,1.166667,173.165689,
142,1.175000,173.163184,
143,1.183333,173.172932,
144,1.191667,173.183418,
145,1.200000,173.186567,
146,1.208333,173.181272,
147,1.216667,173.172724,
148,1.225000,173.168710,
149,1.233333,173.174189,
150,1.241667,173.187818,
151,1.250000,173.203124,
152,1.258333,173.212466,
153,1.266667,173.210293,
154,1.275000,173.195313,
155,1.283333,173.172809,
156,1.291667,173.154864,
157,1.300000,173.154399,
158,1.308333,173.175396,
159,1.316667,173.208657,
160,1.325000,173.237950,
161,1.333333,173.249861,
162,1.341667,173.239110,
163,1.350000,173.210575,
164,1.358333,173.180619,
165,1.366667,173.171475,
166,1.375000,173.195982,
167,1.383333,173.246108,
168,1.391667,173.298811,
169,1.400000,173.331939,
170,1.408333,173.332671,
171,1.416667,173.297239,
172,1.425000,173.233005,
173,1.433333,173.161273,
174,1.441667,173.109723,
175,1.450000,173.096677,
176,1.458333,173.121471,
177,1.466667,173.168157,
178,1.475000,173.216828,
179,1.483333,173.252666,
180,1.491667,173.268429,
181,1.500000,173.263722,
182,1.508333,173.245013,
183,1.516667,173.224309,
184,1.525000,173.213248,
185,1.533333,173.216383,
186,1.541667,173.230380,
187,1.550000,173.249119,
188,1.558333,173.268579,
189,1.566667,173.287625,
190,1.575000,173.305706,
191,1.583333,173.320512,
192,1.591667,173.327921,
193,1.600000,173.324571,
194,1.608333,173.311099,
195,1.616667,173.293115,
196,1.625000,173.278147,
197,1.633333,173.270501,
198,1.641667,173.268914,
199,1.650000,173.269031,
200,1.658333,173.267021,
201,1.666667,173.261052,
202,1.675000,173.251931,
203,1.683333,173.243414,
204,1.691667,173.239812,
205,1.700000,173.241970,
206,1.708333,173.246515,
207,1.716667,173.249358,
208,1.725000,173.249190,
209,1.733333,173.247665,
210,1.741667,173.247001,
211,1.750000,173.247673,
212,1.758333,173.248245,
213,1.766667,173.247129,
214,1.775000,173.244229,
215,1.783333,173.240695,
216,1.791667,173.237134,
217,1.800000,173.232396,
218,1.808333,173.224716,
219,1.816667,173.214907,
220,1.825000,173.209112,
221,1.833333,173.217232,
222,1.841667,173.245429,
223,1.850000,173.288677,
224,1.858333,173.332400,
225,1.866667,173.362254,
226,1.875000,173.371608,
227,1.883333,173.362497,
228,1.891667,173.344399,
229,1.900000,173.330638,
230,1.908333,173.329994,
231,1.916667,173.340113,
232,1.925000,173.350588,
233,1.933333,173.351453,
234,1.941667,173.338119,
235,1.950000,173.311997,
236,1.958333,173.280314,
237,1.966667,173.254190,
238,1.975000,173.243237,
239,1.983333,173.250078,
240,1.991667,173.269585,
241,2.000000,173.293097,
242,2.008333,173.313469,
243,2.016667,173.327163,
244,2.025000,173.333431,
245,2.033333,173.333153,
246,2.041667,173.328423,
247,2.050000,173.321912,
248,2.058333,173.315677,
249,2.066667,173.310749,
250,2.075000,173.307964,
251,2.083333,173.308725,
252,2.091667,173.314445,
253,2.100000,173.325106,
254,2.108333,173.338321,
255,2.116667,173.349922,
256,2.125000,173.355773,
257,2.133333,173.353358,
258,2.141667,173.342187,
259,2.150000,173.323484,
260,2.158333,173.299957,
261,2.166667,173.275603,
262,2.175000,173.254890,
263,2.183333,173.241281,
264,2.191667,173.235867,
265,2.200000,173.237073,
266,2.208333,173.241660,
267,2.216667,173.246403,
268,2.225000,173.249670,
269,2.233333,173.252440,
270,2.241667,173.257992,
271,2.250000,173.269333,
272,2.258333,173.285609,
273,2.266667,173.301205,
274,2.275000,173.308945,
275,2.283333,173.304093,
276,2.291667,173.286301,
277,2.300000,173.260421,
278,2.308333,173.235659,
279,2.316667,173.220673,
280,2.325000,173.217695,
281,2.333333,173.222281,
282,2.341667,173.228521,
283,2.350000,173.233812,
284,2.358333,173.240311,
285,2.366667,173.252825,
286,2.375000,173.273408,
287,2.383333,173.297396,
288,2.391667,173.316247,
289,2.400000,173.324051,
290,2.408333,173.321218,
291,2.416667,173.314369,
292,2.425000,173.312435,
293,2.433333,173.319032,
294,2.441667,173.328403,
295,2.450000,173.330700,
296,2.458333,173.319708,
297,2.466667,173.295708,
298,2.475000,173.265805,
299,2.483333,173.241747,
300,2.491667,173.232005,
301,2.500000,173.234687,
302,2.508333,173.240165,
303,2.516667,173.239504,
304,2.525000,173.229791,
305,2.533333,173.214563,
306,2.541667,173.200987,
307,2.550000,173.194831,
308,2.558333,173.196767,
309,2.566667,173.203306,
310,2.575000,173.210419,
311,2.583333,173.215822,
312,2.591667,173.219033,
313,2.600000,173.220742,
314,2.608333,173.222278,
315,2.616667,173.224964,
316,2.625000,173.229323,
317,2.633333,173.234647,
318,2.641667,173.239353,
319,2.650000,173.242124,
320,2.658333,173.243286,
321,2.666667,173.245275,
322,2.675000,173.251062,
323,2.683333,173.261286,
324,2.691667,173.272961,
325,2.700000,173.281426,
326,2.708333,173.283867,
327,2.716667,173.281858,
328,2.725000,173.281544,
329,2.733333,173.290159,
330,2.741667,173.309898,
331,2.750000,173.334923,
332,2.758333,173.355344,
333,2.766667,173.363425,
334,2.775000,173.355848,
335,2.783333,173.333581,
336,2.791667,173.302642,
337,2.800000,173.272864,
338,2.808333,173.252234,
339,2.816667,173.241694,
340,2.825000,173.236031,
341,2.833333,173.229483,
342,2.841667,173.220799,
343,2.850000,173.214422,
344,2.858333,173.217128,
345,2.866667,173.231962,
346,2.875000,173.254590,
347,2.883333,173.276146,
348,2.891667,173.289530,
349,2.900000,173.292254,
350,2.908333,173.284833,
351,2.916667,173.269747,
352,2.925000,173.252514,
353,2.933333,173.240692,
354,2.941667,173.239263,
