"ÉfÅ[É^ID","éûä‘(s)","MP joint(deg)",
1,0.000000,155.288501,
2,0.008333,155.292446,
3,0.016667,155.292281,
4,0.025000,155.290417,
5,0.033333,155.292928,
6,0.041667,155.303272,
7,0.050000,155.317961,
8,0.058333,155.329865,
9,0.066667,155.335273,
10,0.075000,155.336324,
11,0.083333,155.336536,
12,0.091667,155.335652,
13,0.100000,155.330187,
14,0.108333,155.318441,
15,0.116667,155.303258,
16,0.125000,155.288974,
17,0.133333,155.276628,
18,0.141667,155.264636,
19,0.150000,155.254397,
20,0.158333,155.251561,
21,0.166667,155.257891,
22,0.175000,155.263574,
23,0.183333,155.255379,
24,0.191667,155.238572,
25,0.200000,155.246793,
26,0.208333,155.318174,
27,0.216667,155.452156,
28,0.225000,155.590700,
29,0.233333,155.653296,
30,0.241667,155.602640,
31,0.250000,155.477391,
32,0.258333,155.357084,
33,0.266667,155.296746,
34,0.275000,155.294278,
35,0.283333,155.310981,
36,0.291667,155.314250,
37,0.300000,155.299852,
38,0.308333,155.281286,
39,0.316667,155.268655,
40,0.325000,155.261611,
41,0.333333,155.256917,
42,0.341667,155.256093,
43,0.350000,155.263770,
44,0.358333,155.279185,
45,0.366667,155.290418,
46,0.375000,155.281394,
47,0.383333,155.252203,
48,0.391667,155.233163,
49,0.400000,155.265600,
50,0.408333,155.356560,
51,0.416667,155.456594,
52,0.425000,155.497930,
53,0.433333,155.462087,
54,0.441667,155.400100,
55,0.450000,155.380255,
56,0.458333,155.425091,
57,0.466667,155.501627,
58,0.475000,155.559761,
59,0.483333,155.569692,
60,0.491667,155.529172,
61,0.500000,155.453146,
62,0.508333,155.364902,
63,0.516667,155.289320,
64,0.525000,155.246713,
65,0.533333,155.251232,
66,0.541667,155.307671,
67,0.550000,155.397353,
68,0.558333,155.470929,
69,0.566667,155.480446,
70,0.575000,155.432728,
71,0.583333,155.391440,
72,0.591667,155.407162,
73,0.600000,155.458325,
74,0.608333,155.482396,
75,0.616667,155.461177,
76,0.625000,155.446474,
77,0.633333,155.491524,
78,0.641667,155.584784,
79,0.650000,155.673522,
80,0.658333,155.737575,
81,0.666667,155.805785,
82,0.675000,155.892231,
83,0.683333,155.945269,
84,0.691667,155.887248,
85,0.700000,155.704339,
86,0.708333,155.475819,
87,0.716667,155.305689,
88,0.725000,155.236179,
89,0.733333,155.230215,
90,0.741667,155.228793,
91,0.750000,155.217784,
92,0.758333,155.233968,
93,0.766667,155.307576,
94,0.775000,155.408316,
95,0.783333,155.458569,
96,0.791667,155.407910,
97,0.800000,155.290632,
98,0.808333,155.197937,
99,0.816667,155.194781,
100,0.825000,155.272012,
101,0.833333,155.376390,
102,0.841667,155.471448,
103,0.850000,155.553463,
104,0.858333,155.616980,
105,0.866667,155.638621,
106,0.875000,155.613428,
107,0.883333,155.585202,
108,0.891667,155.609148,
109,0.900000,155.685807,
110,0.908333,155.755742,
111,0.916667,155.769290,
112,0.925000,155.746349,
113,0.933333,155.752629,
114,0.941667,155.826204,
115,0.950000,155.937271,
116,0.958333,156.010453,
117,0.966667,155.981139,
118,0.975000,155.845863,
119,0.983333,155.673776,
120,0.991667,155.560905,
121,1.000000,155.551396,
122,1.008333,155.594483,
123,1.016667,155.590243,
124,1.025000,155.490285,
125,1.033333,155.343816,
126,1.041667,155.237317,
127,1.050000,155.207986,
128,1.058333,155.226095,
129,1.066667,155.243955,
130,1.075000,155.243067,
131,1.083333,155.235337,
132,1.091667,155.235980,
133,1.100000,155.244784,
134,1.108333,155.247359,
135,1.116667,155.230593,
136,1.125000,155.204290,
137,1.133333,155.211172,
138,1.141667,155.303093,
139,1.150000,155.491529,
140,1.158333,155.720347,
141,1.166667,155.902087,
142,1.175000,155.991778,
143,1.183333,156.013261,
144,1.191667,156.002338,
145,1.200000,155.945819,
146,1.208333,155.809803,
147,1.216667,155.627142,
148,1.225000,155.511955,
149,1.233333,155.551308,
150,1.241667,155.692200,
151,1.250000,155.770124,
152,1.258333,155.679639,
153,1.266667,155.497783,
154,1.275000,155.398233,
155,1.283333,155.460788,
156,1.291667,155.592195,
157,1.300000,155.628360,
158,1.308333,155.504714,
159,1.316667,155.311429,
160,1.325000,155.188268,
161,1.333333,155.195816,
162,1.341667,155.286417,
163,1.350000,155.375250,
164,1.358333,155.430306,
165,1.366667,155.491722,
166,1.375000,155.604834,
167,1.383333,155.742325,
168,1.391667,155.803006,
169,1.400000,155.702296,
170,1.408333,155.468796,
171,1.416667,155.237989,
172,1.425000,155.147566,
173,1.433333,155.240519,
174,1.441667,155.448135,
175,1.450000,155.645180,
176,1.458333,155.730459,
177,1.466667,155.679880,
178,1.475000,155.541507,
179,1.483333,155.388275,
180,1.491667,155.272952,
181,1.500000,155.215570,
182,1.508333,155.215835,
