"ÉfÅ[É^ID","éûä‘(s)","MP joint(deg)",
1,0.000000,165.293626,
2,0.008333,165.274930,
3,0.016667,165.264932,
4,0.025000,165.257886,
5,0.033333,165.250742,
6,0.041667,165.243809,
7,0.050000,165.238993,
8,0.058333,165.237910,
9,0.066667,165.240454,
10,0.075000,165.243753,
11,0.083333,165.243059,
12,0.091667,165.235946,
13,0.100000,165.227313,
14,0.108333,165.229342,
15,0.116667,165.253645,
16,0.125000,165.301354,
17,0.133333,165.360809,
18,0.141667,165.415410,
19,0.150000,165.454319,
20,0.158333,165.477019,
21,0.166667,165.489280,
22,0.175000,165.496045,
23,0.183333,165.498643,
24,0.191667,165.497833,
25,0.200000,165.497282,
26,0.208333,165.502325,
27,0.216667,165.515099,
28,0.225000,165.531835,
29,0.233333,165.545886,
30,0.241667,165.553827,
31,0.250000,165.558419,
32,0.258333,165.565206,
33,0.266667,165.576083,
34,0.275000,165.586476,
35,0.283333,165.589060,
36,0.291667,165.580459,
37,0.300000,165.564755,
38,0.308333,165.551022,
39,0.316667,165.547093,
40,0.325000,165.554118,
41,0.333333,165.565665,
42,0.341667,165.572380,
43,0.350000,165.569435,
44,0.358333,165.560725,
45,0.366667,165.555228,
46,0.375000,165.558212,
47,0.383333,165.566273,
48,0.391667,165.571818,
49,0.400000,165.571675,
50,0.408333,165.569314,
51,0.416667,165.568300,
52,0.425000,165.566041,
53,0.433333,165.556420,
54,0.441667,165.538054,
55,0.450000,165.517588,
56,0.458333,165.504121,
57,0.466667,165.501989,
58,0.475000,165.509997,
59,0.483333,165.525907,
60,0.491667,165.549036,
61,0.500000,165.578201,
62,0.508333,165.609306,
63,0.516667,165.636959,
64,0.525000,165.658490,
65,0.533333,165.675285,
66,0.541667,165.689818,
67,0.550000,165.702318,
68,0.558333,165.711335,
69,0.566667,165.717016,
70,0.575000,165.722185,
71,0.583333,165.729400,
72,0.591667,165.737864,
73,0.600000,165.744477,
74,0.608333,165.747711,
75,0.616667,165.749282,
76,0.625000,165.751717,
77,0.633333,165.755393,
78,0.641667,165.758806,
79,0.650000,165.760958,
80,0.658333,165.762130,
81,0.666667,165.762271,
82,0.675000,165.760010,
83,0.683333,165.754242,
84,0.691667,165.746484,
85,0.700000,165.740896,
86,0.708333,165.741652,
87,0.716667,165.750255,
88,0.725000,165.765321,
89,0.733333,165.784751,
90,0.741667,165.807828,
91,0.750000,165.834920,
92,0.758333,165.864726,
93,0.766667,165.892012,
94,0.775000,165.909406,
95,0.783333,165.913297,
96,0.791667,165.908539,
97,0.800000,165.906014,
98,0.808333,165.913773,
99,0.816667,165.930184,
100,0.825000,165.946554,
101,0.833333,165.956736,
102,0.841667,165.963291,
103,0.850000,165.973552,
104,0.858333,165.990486,
105,0.866667,166.009053,
106,0.875000,166.022037,
107,0.883333,166.028112,
108,0.891667,166.032450,
109,0.900000,166.039104,
110,0.908333,166.044330,
111,0.916667,166.039293,
112,0.925000,166.019967,
113,0.933333,165.993585,
114,0.941667,165.974138,
115,0.950000,165.970954,
116,0.958333,165.981637,
117,0.966667,165.995568,
118,0.975000,166.003122,
119,0.983333,166.001241,
120,0.991667,165.992041,
121,1.000000,165.979171,
122,1.008333,165.966851,
123,1.016667,165.960330,
124,1.025000,165.963968,
125,1.033333,165.977594,
126,1.041667,165.995789,
127,1.050000,166.012080,
128,1.058333,166.024029,
129,1.066667,166.033795,
130,1.075000,166.043973,
131,1.083333,166.053946,
132,1.091667,166.061041,
133,1.100000,166.064659,
134,1.108333,166.067637,
135,1.116667,166.072336,
136,1.125000,166.075814,
137,1.133333,166.070538,
138,1.141667,166.051225,
139,1.150000,166.020959,
140,1.158333,165.989730,
141,1.166667,165.966744,
142,1.175000,165.954631,
143,1.183333,165.950904,
144,1.191667,165.953197,
145,1.200000,165.961160,
146,1.208333,165.973389,
147,1.216667,165.984691,
148,1.225000,165.988246,
149,1.233333,165.980701,
150,1.241667,165.964760,
151,1.250000,165.947363,
152,1.258333,165.936334,
153,1.266667,165.938114,
154,1.275000,165.955809,
155,1.283333,165.986434,
156,1.291667,166.019910,
157,1.300000,166.043725,
158,1.308333,166.051822,
159,1.316667,166.049767,
160,1.325000,166.049735,
161,1.333333,166.058704,
162,1.341667,166.071114,
163,1.350000,166.073617,
164,1.358333,166.057357,
165,1.366667,166.025772,
166,1.375000,165.991253,
167,1.383333,165.965646,
168,1.391667,165.954172,
169,1.400000,165.956095,
