"ÉfÅ[É^ID","éûä‘(s)","MP joint(deg)",
1,0.000000,155.654732,
2,0.008333,155.659189,
3,0.016667,155.672662,
4,0.025000,155.687298,
5,0.033333,155.692983,
6,0.041667,155.685331,
7,0.050000,155.669813,
8,0.058333,155.657629,
9,0.066667,155.656185,
10,0.075000,155.662889,
11,0.083333,155.668629,
12,0.091667,155.667537,
13,0.100000,155.662562,
14,0.108333,155.661067,
15,0.116667,155.666164,
16,0.125000,155.673786,
17,0.133333,155.677394,
18,0.141667,155.673007,
19,0.150000,155.659146,
20,0.158333,155.635460,
21,0.166667,155.605345,
22,0.175000,155.579374,
23,0.183333,155.571661,
24,0.191667,155.589024,
25,0.200000,155.623362,
26,0.208333,155.656137,
27,0.216667,155.671337,
28,0.225000,155.664914,
29,0.233333,155.643537,
30,0.241667,155.616589,
31,0.250000,155.590234,
32,0.258333,155.567667,
33,0.266667,155.552151,
34,0.275000,155.547316,
35,0.283333,155.553814,
36,0.291667,155.566760,
37,0.300000,155.578069,
38,0.308333,155.582548,
39,0.316667,155.582196,
40,0.325000,155.584363,
41,0.333333,155.594963,
42,0.341667,155.612522,
43,0.350000,155.628238,
44,0.358333,155.632047,
45,0.366667,155.619722,
46,0.375000,155.595415,
47,0.383333,155.568048,
48,0.391667,155.545045,
49,0.400000,155.528678,
50,0.408333,155.517425,
51,0.416667,155.510100,
52,0.425000,155.508276,
53,0.433333,155.514581,
54,0.441667,155.528951,
55,0.450000,155.547351,
56,0.458333,155.564758,
57,0.466667,155.579008,
58,0.475000,155.590898,
59,0.483333,155.600640,
60,0.491667,155.605602,
61,0.500000,155.602696,
62,0.508333,155.592606,
63,0.516667,155.580499,
64,0.525000,155.572070,
65,0.533333,155.569192,
66,0.541667,155.569191,
67,0.550000,155.567343,
68,0.558333,155.560102,
69,0.566667,155.547772,
70,0.575000,155.535379,
71,0.583333,155.529697,
72,0.591667,155.533078,
73,0.600000,155.540109,
74,0.608333,155.542329,
75,0.616667,155.537107,
76,0.625000,155.530634,
77,0.633333,155.531568,
78,0.641667,155.543197,
79,0.650000,155.562534,
80,0.658333,155.584580,
81,0.666667,155.604335,
82,0.675000,155.615587,
83,0.683333,155.612417,
84,0.691667,155.595157,
85,0.700000,155.573454,
86,0.708333,155.560124,
87,0.716667,155.560655,
88,0.725000,155.569570,
89,0.733333,155.577210,
90,0.741667,155.578980,
91,0.750000,155.577770,
92,0.758333,155.579187,
93,0.766667,155.586207,
94,0.775000,155.597887,
95,0.783333,155.611032,
96,0.791667,155.621948,
97,0.800000,155.627623,
98,0.808333,155.626982,
99,0.816667,155.621786,
100,0.825000,155.616006,
101,0.833333,155.613680,
102,0.841667,155.616833,
103,0.850000,155.624853,
104,0.858333,155.634939,
105,0.866667,155.642246,
106,0.875000,155.640093,
107,0.883333,155.622504,
108,0.891667,155.589522,
109,0.900000,155.550740,
110,0.908333,155.521250,
111,0.916667,155.511013,
112,0.925000,155.517143,
113,0.933333,155.527641,
114,0.941667,155.533296,
115,0.950000,155.535144,
116,0.958333,155.539743,
117,0.966667,155.548618,
118,0.975000,155.554605,
119,0.983333,155.549216,
120,0.991667,155.532060,
121,1.000000,155.511571,
122,1.008333,155.497029,
123,1.016667,155.491468,
124,1.025000,155.492440,
125,1.033333,155.497666,
126,1.041667,155.507646,
127,1.050000,155.522263,
128,1.058333,155.536572,
129,1.066667,155.542378,
130,1.075000,155.535413,
131,1.083333,155.520697,
132,1.091667,155.509585,
133,1.100000,155.510571,
134,1.108333,155.522521,
135,1.116667,155.536110,
136,1.125000,155.540823,
137,1.133333,155.530693,
138,1.141667,155.505468,
139,1.150000,155.469416,
140,1.158333,155.430520,
141,1.166667,155.399175,
142,1.175000,155.384132,
143,1.183333,155.387007,
144,1.191667,155.400347,
145,1.200000,155.412164,
146,1.208333,155.413496,
147,1.216667,155.402530,
148,1.225000,155.382921,
149,1.233333,155.359639,
150,1.241667,155.336117,
151,1.250000,155.313353,
152,1.258333,155.290411,
153,1.266667,155.266581,
154,1.275000,155.244276,
155,1.283333,155.229002,
156,1.291667,155.224178,
157,1.300000,155.225647,
158,1.308333,155.223831,
159,1.316667,155.213067,
160,1.325000,155.197390,
161,1.333333,155.185206,
162,1.341667,155.179514,
163,1.350000,155.176122,
164,1.358333,155.171078,
165,1.366667,155.165875,
166,1.375000,155.163244,
167,1.383333,155.160594,
168,1.391667,155.151609,
169,1.400000,155.134791,
170,1.408333,155.117691,
171,1.416667,155.110560,
172,1.425000,155.116035,
173,1.433333,155.125987,
174,1.441667,155.128808,
175,1.450000,155.120170,
176,1.458333,155.107374,
177,1.466667,155.103058,
178,1.475000,155.113569,
179,1.483333,155.132714,
180,1.491667,155.147049,
181,1.500000,155.147763,
182,1.508333,155.137633,
183,1.516667,155.126915,
184,1.525000,155.123407,
185,1.533333,155.126728,
186,1.541667,155.130821,
187,1.550000,155.130442,
188,1.558333,155.125393,
189,1.566667,155.119963,
190,1.575000,155.119174,
191,1.583333,155.124816,
192,1.591667,155.133491,
193,1.600000,155.137838,
194,1.608333,155.130952,
195,1.616667,155.111949,
196,1.625000,155.088491,
197,1.633333,155.072600,
198,1.641667,155.071487,
199,1.650000,155.081225,
200,1.658333,155.090023,
201,1.666667,155.088627,
202,1.675000,155.077970,
203,1.683333,155.067262,
204,1.691667,155.065529,
205,1.700000,155.074917,
206,1.708333,155.090086,
207,1.716667,155.101967,
208,1.725000,155.102758,
209,1.733333,155.090432,
210,1.741667,155.070561,
211,1.750000,155.053218,
212,1.758333,155.046448,
213,1.766667,155.051673,
214,1.775000,155.064684,
215,1.783333,155.080007,
216,1.791667,155.094017,
217,1.800000,155.105601,
218,1.808333,155.116219,
219,1.816667,155.129416,
220,1.825000,155.147877,
221,1.833333,155.169101,
222,1.841667,155.184953,
223,1.850000,155.187966,
224,1.858333,155.178785,
225,1.866667,155.165772,
226,1.875000,155.155965,
227,1.883333,155.147662,
228,1.891667,155.134098,
229,1.900000,155.114217,
230,1.908333,155.096868,
231,1.916667,155.092093,
232,1.925000,155.099275,
233,1.933333,155.106542,
234,1.941667,155.102776,
235,1.950000,155.088779,
236,1.958333,155.075599,
237,1.966667,155.073484,
238,1.975000,155.084585,
239,1.983333,155.105424,
240,1.991667,155.132329,
241,2.000000,155.161472,
242,2.008333,155.185419,
243,2.016667,155.194752,
244,2.025000,155.186351,
245,2.033333,155.168913,
246,2.041667,155.157112,
247,2.050000,155.158687,
248,2.058333,155.167886,
249,2.066667,155.172651,
250,2.075000,155.168013,
251,2.083333,155.161196,
252,2.091667,155.163026,
253,2.100000,155.175406,
254,2.108333,155.188916,
255,2.116667,155.193210,
256,2.125000,155.188372,
257,2.133333,155.184271,
258,2.141667,155.188926,
259,2.150000,155.200008,
260,2.158333,155.209468,
261,2.166667,155.214204,
262,2.175000,155.218010,
263,2.183333,155.223164,
264,2.191667,155.225656,
265,2.200000,155.222657,
266,2.208333,155.221011,
267,2.216667,155.231166,
