"ÉfÅ[É^ID","éûä‘(s)","MP joint(deg)",
1,0.000000,174.887024,
2,0.008333,174.887925,
3,0.016667,174.877943,
4,0.025000,174.861659,
5,0.033333,174.845839,
6,0.041667,174.835163,
7,0.050000,174.830188,
8,0.058333,174.828749,
9,0.066667,174.829112,
10,0.075000,174.831895,
11,0.083333,174.839122,
12,0.091667,174.851406,
13,0.100000,174.865890,
14,0.108333,174.876966,
15,0.116667,174.879609,
16,0.125000,174.872941,
17,0.133333,174.861280,
18,0.141667,174.851592,
19,0.150000,174.849037,
20,0.158333,174.853845,
21,0.166667,174.861822,
22,0.175000,174.867934,
23,0.183333,174.869988,
24,0.191667,174.869553,
25,0.200000,174.869740,
26,0.208333,174.872053,
27,0.216667,174.875079,
28,0.225000,174.876002,
29,0.233333,174.873376,
30,0.241667,174.868601,
31,0.250000,174.864766,
32,0.258333,174.864010,
33,0.266667,174.865835,
34,0.275000,174.867913,
35,0.283333,174.868491,
36,0.291667,174.867992,
37,0.300000,174.868255,
38,0.308333,174.870282,
39,0.316667,174.872928,
40,0.325000,174.874039,
41,0.333333,174.872913,
42,0.341667,174.871399,
43,0.350000,174.872144,
44,0.358333,174.875468,
45,0.366667,174.878053,
46,0.375000,174.875201,
47,0.383333,174.864994,
48,0.391667,174.850677,
49,0.400000,174.838940,
50,0.408333,174.835366,
51,0.416667,174.840743,
52,0.425000,174.851088,
53,0.433333,174.860997,
54,0.441667,174.867344,
55,0.450000,174.870524,
56,0.458333,174.872888,
57,0.466667,174.876287,
58,0.475000,174.880896,
59,0.483333,174.885910,
60,0.491667,174.890909,
61,0.500000,174.896360,
62,0.508333,174.902808,
63,0.516667,174.909745,
64,0.525000,174.915441,
65,0.533333,174.918121,
66,0.541667,174.917533,
67,0.550000,174.915490,
68,0.558333,174.914802,
69,0.566667,174.917360,
70,0.575000,174.922786,
71,0.583333,174.928572,
72,0.591667,174.931535,
73,0.600000,174.929642,
74,0.608333,174.923275,
75,0.616667,174.915431,
76,0.625000,174.910666,
77,0.633333,174.912907,
78,0.641667,174.922891,
79,0.650000,174.936828,
80,0.658333,174.947791,
81,0.666667,174.949686,
82,0.675000,174.941437,
83,0.683333,174.928192,
84,0.691667,174.918315,
85,0.700000,174.918193,
86,0.708333,174.928760,
87,0.716667,174.946209,
88,0.725000,174.965769,
89,0.733333,174.985011,
90,0.741667,175.003960,
91,0.750000,175.022563,
92,0.758333,175.038570,
93,0.766667,175.048351,
94,0.775000,175.050080,
95,0.783333,175.046213,
96,0.791667,175.042536,
97,0.800000,175.044222,
98,0.808333,175.052171,
99,0.816667,175.062897,
100,0.825000,175.072088,
101,0.833333,175.078643,
102,0.841667,175.085545,
103,0.850000,175.096819,
104,0.858333,175.113465,
105,0.866667,175.132145,
106,0.875000,175.147795,
107,0.883333,175.157747,
108,0.891667,175.163696,
109,0.900000,175.169949,
110,0.908333,175.179686,
111,0.916667,175.192426,
112,0.925000,175.204531,
113,0.933333,175.211889,
114,0.941667,175.212515,
115,0.950000,175.207345,
116,0.958333,175.199139,
117,0.966667,175.190554,
118,0.975000,175.182668,
119,0.983333,175.174869,
120,0.991667,175.166282,
121,1.000000,175.157946,
122,1.008333,175.154000,
123,1.016667,175.160164,
124,1.025000,175.179594,
125,1.033333,175.208777,
126,1.041667,175.237205,
127,1.050000,175.252515,
128,1.058333,175.248570,
129,1.066667,175.230775,
130,1.075000,175.213927,
131,1.083333,175.213025,
132,1.091667,175.233068,
133,1.100000,175.265256,
134,1.108333,175.292541,
135,1.116667,175.300584,
136,1.125000,175.286395,
137,1.133333,175.259172,
138,1.141667,175.233845,
139,1.150000,175.222611,
140,1.158333,175.229895,
141,1.166667,175.252455,
142,1.175000,175.282575,
143,1.183333,175.311517,
144,1.191667,175.331977,
145,1.200000,175.339751,
146,1.208333,175.334741,
147,1.216667,175.320716,
148,1.225000,175.303384,
149,1.233333,175.287621,
150,1.241667,175.275637,
151,1.250000,175.267209,
152,1.258333,175.261355,
153,1.266667,175.257696,
154,1.275000,175.256422,
155,1.283333,175.257258,
156,1.291667,175.258734,
157,1.300000,175.258582,
158,1.308333,175.254921,
159,1.316667,175.247363,
160,1.325000,175.237412,
161,1.333333,175.228140,
162,1.341667,175.223233,
163,1.350000,175.225512,
164,1.358333,175.235408,
165,1.366667,175.250520,
166,1.375000,175.267143,
167,1.383333,175.283079,
168,1.391667,175.299275,
169,1.400000,175.318199,
170,1.408333,175.339656,
171,1.416667,175.357868,
172,1.425000,175.363502,
173,1.433333,175.350211,
174,1.441667,175.320691,
175,1.450000,175.286717,
176,1.458333,175.262283,
177,1.466667,175.254808,
178,1.475000,175.261146,
179,1.483333,175.271257,
180,1.491667,175.276172,
181,1.500000,175.273906,
182,1.508333,175.269273,
183,1.516667,175.268781,
184,1.525000,175.275317,
185,1.533333,175.286696,
186,1.541667,175.298292,
187,1.550000,175.306600,
188,1.558333,175.310515,
189,1.566667,175.310039,
190,1.575000,175.304880,
191,1.583333,175.295195,
192,1.591667,175.283743,
193,1.600000,175.276342,
194,1.608333,175.278672,
195,1.616667,175.291372,
196,1.625000,175.307906,
197,1.633333,175.318011,
198,1.641667,175.314731,
