"ÉfÅ[É^ID","éûä‘(s)","MP joint(deg)",
1,0.000000,159.073819,
2,0.008333,159.037475,
3,0.016667,158.983075,
4,0.025000,158.923675,
5,0.033333,158.874810,
6,0.041667,158.843760,
7,0.050000,158.825935,
8,0.058333,158.808206,
9,0.066667,158.773571,
10,0.075000,158.706625,
11,0.083333,158.605500,
12,0.091667,158.497550,
13,0.100000,158.439464,
14,0.108333,158.486154,
15,0.116667,158.645395,
16,0.125000,158.861571,
17,0.133333,159.052474,
18,0.141667,159.169717,
19,0.150000,159.225806,
20,0.158333,159.266318,
21,0.166667,159.323165,
22,0.175000,159.396342,
23,0.183333,159.470773,
24,0.191667,159.538026,
25,0.200000,159.599409,
26,0.208333,159.656530,
27,0.216667,159.706829,
28,0.225000,159.748339,
29,0.233333,159.784234,
30,0.241667,159.820379,
31,0.250000,159.859453,
32,0.258333,159.898128,
33,0.266667,159.929507,
34,0.275000,159.948477,
35,0.283333,159.955730,
36,0.291667,159.957677,
37,0.300000,159.962712,
38,0.308333,159.976634,
39,0.316667,160.000292,
40,0.325000,160.030584,
41,0.333333,160.063245,
42,0.341667,160.094907,
43,0.350000,160.123492,
44,0.358333,160.147827,
45,0.366667,160.167347,
46,0.375000,160.181742,
47,0.383333,160.190504,
48,0.391667,160.193172,
49,0.400000,160.190675,
50,0.408333,160.186596,
51,0.416667,160.186584,
52,0.425000,160.195655,
53,0.433333,160.215307,
54,0.441667,160.242690,
55,0.450000,160.272310,
56,0.458333,160.298776,
57,0.466667,160.318703,
58,0.475000,160.330814,
59,0.483333,160.334652,
60,0.491667,160.329566,
61,0.500000,160.315719,
62,0.508333,160.296552,
63,0.516667,160.279147,
64,0.525000,160.270010,
65,0.533333,160.269454,
66,0.541667,160.271369,
67,0.550000,160.270128,
68,0.558333,160.267226,
69,0.566667,160.269215,
70,0.575000,160.278510,
71,0.583333,160.287843,
72,0.591667,160.285700,
73,0.600000,160.267394,
74,0.608333,160.239589,
75,0.616667,160.213498,
76,0.625000,160.194722,
77,0.633333,160.180581,
78,0.641667,160.166284,
79,0.650000,160.151633,
80,0.658333,160.141011,
81,0.666667,160.137946,
82,0.675000,160.140871,
83,0.683333,160.143744,
84,0.691667,160.139630,
85,0.700000,160.123749,
86,0.708333,160.095005,
87,0.716667,160.056804,
88,0.725000,160.016735,
89,0.733333,159.983758,
90,0.741667,159.963787,
91,0.750000,159.957575,
92,0.758333,159.963439,
93,0.766667,159.981727,
94,0.775000,160.014983,
95,0.783333,160.062485,
96,0.791667,160.114890,
97,0.800000,160.155875,
98,0.808333,160.171279,
99,0.816667,160.158804,
100,0.825000,160.130211,
101,0.833333,160.103921,
102,0.841667,160.093301,
103,0.850000,160.098812,
104,0.858333,160.109415,
105,0.866667,160.112016,
106,0.875000,160.101618,
107,0.883333,160.084046,
108,0.891667,160.069382,
109,0.900000,160.062549,
110,0.908333,160.059956,
111,0.916667,160.055003,
112,0.925000,160.046495,
113,0.933333,160.041427,
114,0.941667,160.049296,
115,0.950000,160.073363,
116,0.958333,160.107001,
117,0.966667,160.138227,
118,0.975000,160.157939,
119,0.983333,160.164859,
120,0.991667,160.164424,
121,1.000000,160.164569,
122,1.008333,160.172843,
123,1.016667,160.196079,
124,1.025000,160.240373,
125,1.033333,160.308800,
126,1.041667,160.397171,
127,1.050000,160.491777,
