"ÉfÅ[É^ID","éûä‘(s)","MP joint(deg)",
1,0.000000,155.078174,
2,0.008333,156.302086,
3,0.016667,157.849615,
4,0.025000,159.361828,
5,0.033333,160.668224,
6,0.041667,161.681905,
7,0.050000,162.344264,
8,0.058333,162.706487,
9,0.066667,162.971238,
10,0.075000,163.315756,
11,0.083333,163.606011,
12,0.091667,163.360359,
13,0.100000,162.060807,
14,0.108333,159.642219,
15,0.116667,156.901178,
16,0.125000,155.105558,
17,0.133333,154.997030,
18,0.141667,156.289588,
19,0.150000,158.039433,
20,0.158333,159.423444,
21,0.166667,160.205890,
22,0.175000,160.615121,
23,0.183333,160.962266,
24,0.191667,161.387275,
25,0.200000,161.845973,
26,0.208333,162.211348,
27,0.216667,162.342906,
28,0.225000,162.136601,
29,0.233333,161.628336,
30,0.241667,161.089262,
31,0.250000,160.906489,
32,0.258333,161.212111,
33,0.266667,161.651335,
34,0.275000,161.663535,
35,0.283333,161.033947,
36,0.291667,160.178897,
37,0.300000,159.837450,
38,0.308333,160.311059,
39,0.316667,161.087310,
40,0.325000,161.334800,
41,0.333333,160.650848,
42,0.341667,159.348593,
43,0.350000,158.210071,
44,0.358333,157.863687,
45,0.366667,158.316289,
46,0.375000,159.020848,
47,0.383333,159.302629,
48,0.391667,158.788912,
49,0.400000,157.650450,
50,0.408333,156.567343,
51,0.416667,156.283424,
52,0.425000,156.970482,
53,0.433333,158.020510,
54,0.441667,158.559316,
55,0.450000,158.214516,
56,0.458333,157.437054,
57,0.466667,157.128868,
58,0.475000,157.825065,
59,0.483333,159.168766,
60,0.491667,160.219550,
61,0.500000,160.256142,
62,0.508333,159.283044,
63,0.516667,157.992383,
64,0.525000,157.245184,
65,0.533333,157.374563,
66,0.541667,157.985788,
67,0.550000,158.421293,
68,0.558333,158.355559,
69,0.566667,157.961414,
70,0.575000,157.619201,
71,0.583333,157.557379,
72,0.591667,157.801523,
73,0.600000,158.375601,
74,0.608333,159.365669,
75,0.616667,160.688307,
76,0.625000,161.893689,
77,0.633333,162.374962,
78,0.641667,161.798499,
79,0.650000,160.377147,
80,0.658333,158.874551,
81,0.666667,158.118964,
82,0.675000,158.323934,
83,0.683333,158.919482,
84,0.691667,159.035913,
85,0.700000,158.175312,
86,0.708333,156.593031,
87,0.716667,155.203207,
88,0.725000,154.966622,
89,0.733333,156.186937,
90,0.741667,158.313976,
91,0.750000,160.400040,
92,0.758333,161.815331,
93,0.766667,162.579857,
94,0.775000,163.119438,
95,0.783333,163.773656,
96,0.791667,164.433120,
97,0.800000,164.614756,
98,0.808333,163.831640,
99,0.816667,161.932641,
100,0.825000,159.466729,
101,0.833333,157.514871,
102,0.841667,156.829949,
103,0.850000,157.306317,
104,0.858333,158.252124,
105,0.866667,159.025222,
106,0.875000,159.381223,
107,0.883333,159.339866,
108,0.891667,158.910362,
109,0.900000,158.043737,
110,0.908333,156.825915,
111,0.916667,155.617614,
112,0.925000,154.886942,
113,0.933333,154.836595,
114,0.941667,155.194182,
115,0.950000,155.398353,
116,0.958333,155.061947,
117,0.966667,154.369890,
118,0.975000,154.091250,
119,0.983333,155.072955,
120,0.991667,157.477130,
121,1.000000,160.389437,
122,1.008333,162.356449,
123,1.016667,162.441317,
124,1.025000,160.532651,
125,1.033333,157.369937,
126,1.041667,154.461903,
127,1.050000,153.173178,
128,1.058333,153.984712,
129,1.066667,156.415931,
130,1.075000,159.305090,
131,1.083333,161.351092,
132,1.091667,161.759304,
133,1.100000,160.491743,
134,1.108333,158.317471,
135,1.116667,156.639195,
136,1.125000,156.553864,
137,1.133333,158.013866,
138,1.141667,159.970174,
139,1.150000,161.300471,
140,1.158333,161.576466,
141,1.166667,161.037491,
142,1.175000,160.139723,
143,1.183333,159.138840,
144,1.191667,157.984280,
145,1.200000,156.589698,
146,1.208333,155.167019,
147,1.216667,154.258233,
148,1.225000,154.381727,
149,1.233333,155.568697,
150,1.241667,157.205307,
151,1.250000,158.405388,
152,1.258333,158.659032,
153,1.266667,158.185001,
154,1.275000,157.705327,
155,1.283333,157.768671,
156,1.291667,158.206902,
157,1.300000,158.350722,
158,1.308333,157.794598,
159,1.316667,156.888081,
160,1.325000,156.436719,
161,1.333333,156.860071,
162,1.341667,157.729888,
163,1.350000,158.246856,
164,1.358333,158.090389,
165,1.366667,157.701627,
166,1.375000,157.741097,
167,1.383333,158.281522,
168,1.391667,158.644180,
169,1.400000,158.085643,
170,1.408333,156.596885,
171,1.416667,155.094848,
172,1.425000,154.759697,
173,1.433333,156.039647,
174,1.441667,158.285916,
175,1.450000,160.329047,
176,1.458333,161.397755,
177,1.466667,161.459561,
178,1.475000,160.887998,
179,1.483333,160.005710,
180,1.491667,158.861055,
181,1.500000,157.403709,
182,1.508333,155.871140,
183,1.516667,154.940760,
184,1.525000,155.397762,
185,1.533333,157.531193,
186,1.541667,160.719327,
187,1.550000,163.631959,
188,1.558333,165.166582,
189,1.566667,165.099279,
190,1.575000,163.669448,
191,1.583333,161.572629,
192,1.591667,159.883113,
193,1.600000,159.148585,
194,1.608333,159.016144,
195,1.616667,158.824339,
196,1.625000,158.403272,
197,1.633333,158.274825,
198,1.641667,159.042424,
199,1.650000,160.551709,
200,1.658333,161.801466,
201,1.666667,161.767494,
202,1.675000,160.131880,
203,1.683333,157.538553,
204,1.691667,155.287926,
205,1.700000,154.289910,
206,1.708333,154.411538,
207,1.716667,154.840737,
208,1.725000,154.933664,
209,1.733333,154.761779,
210,1.741667,154.992060,
211,1.750000,156.268816,
212,1.758333,158.588770,
213,1.766667,161.175937,
214,1.775000,163.030407,
215,1.783333,163.648471,
216,1.791667,163.132069,
217,1.800000,161.915821,
218,1.808333,160.505889,
219,1.816667,159.141208,
220,1.825000,157.737329,
221,1.833333,156.255701,
222,1.841667,155.050374,
223,1.850000,154.725733,
224,1.858333,155.561674,
225,1.866667,157.094563,
226,1.875000,158.375855,
227,1.883333,158.734480,
228,1.891667,158.286306,
229,1.900000,157.756191,
230,1.908333,157.762229,
231,1.916667,158.200875,
232,1.925000,158.411944,
233,1.933333,157.929721,
234,1.941667,156.999116,
235,1.950000,156.370748,
236,1.958333,156.580417,
237,1.966667,157.471495,
238,1.975000,158.444747,
239,1.983333,159.051428,
240,1.991667,159.243251,
241,2.000000,159.140806,
242,2.008333,158.736894,
243,2.016667,157.919201,
244,2.025000,156.753993,
245,2.033333,155.632477,
246,2.041667,155.010354,
247,2.050000,154.965939,
248,2.058333,155.090750,
249,2.066667,154.903665,
250,2.075000,154.417156,
251,2.083333,154.287454,
252,2.091667,155.302873,
253,2.100000,157.577914,
254,2.108333,160.225760,
255,2.116667,161.982774,
256,2.125000,162.180436,
257,2.133333,160.997969,
258,2.141667,159.256987,
259,2.150000,157.979511,
260,2.158333,157.722992,
261,2.166667,158.324484,
262,2.175000,159.141577,
263,2.183333,159.457777,
264,2.191667,158.841105,
265,2.200000,157.420709,
266,2.208333,155.997312,
267,2.216667,155.663038,
268,2.225000,156.981017,
269,2.233333,159.432567,
270,2.241667,161.739021,
271,2.250000,162.851840,
272,2.258333,162.504283,
273,2.266667,160.981526,
274,2.275000,158.904471,
275,2.283333,157.017114,
276,2.291667,155.903648,
277,2.300000,155.820278,
278,2.308333,156.621479,
279,2.316667,157.813570,
280,2.325000,158.806655,
281,2.333333,159.225091,
282,2.341667,159.032086,
283,2.350000,158.449005,
284,2.358333,157.838180,
285,2.366667,157.640552,
286,2.375000,158.284560,
287,2.383333,159.937865,
288,2.391667,162.196105,
289,2.400000,164.122340,
290,2.408333,164.868709,
291,2.416667,164.092716,
292,2.425000,161.893538,
293,2.433333,159.175708,
294,2.441667,157.294119,
295,2.450000,156.882650,
296,2.458333,157.446036,
297,2.466667,158.013683,
298,2.475000,158.060016,
299,2.483333,157.822865,
300,2.491667,157.844332,
301,2.500000,158.259351,
302,2.508333,158.594317,
303,2.516667,158.262510,
304,2.525000,157.158756,
305,2.533333,155.781859,
306,2.541667,154.812516,
307,2.550000,154.561469,
308,2.558333,154.829974,
309,2.566667,155.209721,
310,2.575000,155.415151,
311,2.583333,155.364745,
312,2.591667,155.096362,
313,2.600000,154.729639,
314,2.608333,154.499016,
315,2.616667,154.695912,
316,2.625000,155.455374,
317,2.633333,156.583924,
318,2.641667,157.668352,
319,2.650000,158.395772,
320,2.658333,158.735218,
321,2.666667,158.793873,
322,2.675000,158.559532,
323,2.683333,157.887460,
324,2.691667,156.803540,
325,2.700000,155.771034,
326,2.708333,155.483245,
327,2.716667,156.230975,
328,2.725000,157.499608,
329,2.733333,158.314607,
330,2.741667,158.017376,
331,2.750000,156.717519,
332,2.758333,155.160747,
333,2.766667,154.146252,
334,2.775000,153.965428,
335,2.783333,154.348640,
336,2.791667,154.812784,
337,2.800000,154.997768,
338,2.808333,154.793368,
339,2.816667,154.342932,
340,2.825000,154.011821,
341,2.833333,154.242802,
342,2.841667,155.241090,
343,2.850000,156.695762,
344,2.858333,157.888206,
345,2.866667,158.215981,
346,2.875000,157.672263,
347,2.883333,156.876651,
348,2.891667,156.605575,
349,2.900000,157.160236,
350,2.908333,158.183883,
351,2.916667,159.081355,
352,2.925000,159.536750,
353,2.933333,159.623618,
354,2.941667,159.538146,
355,2.950000,159.316707,
356,2.958333,158.808462,
357,2.966667,157.855247,
358,2.975000,156.453823,
359,2.983333,154.809918,
360,2.991667,153.360112,
361,3.000000,152.776643,
362,3.008333,153.776118,
363,3.016667,156.592644,
364,3.025000,160.392444,
365,3.033333,163.445823,
366,3.041667,164.487687,
367,3.050000,163.300422,
368,3.058333,160.195691,
369,3.066667,156.556756,
370,3.075000,154.024186,
371,3.083333,153.105192,
372,3.091667,153.240776,
373,3.100000,153.746672,
374,3.108333,154.453892,
375,3.116667,155.509539,
376,3.125000,156.763080,
377,3.133333,157.604948,
378,3.141667,157.538701,
379,3.150000,156.839484,
380,3.158333,156.534087,
381,3.166667,157.496389,
382,3.175000,159.437409,
383,3.183333,161.011982,
384,3.191667,161.041159,
385,3.200000,159.394673,
386,3.208333,157.140280,
387,3.216667,155.913446,
388,3.225000,156.525614,
389,3.233333,158.298721,
390,3.241667,159.736588,
391,3.250000,159.753533,
392,3.258333,158.325892,
393,3.266667,156.499382,
394,3.275000,155.780799,
395,3.283333,156.949651,
396,3.291667,159.328462,
397,3.300000,161.281748,
398,3.308333,161.539756,
399,3.316667,159.867162,
400,3.325000,157.058737,
401,3.333333,154.570787,
402,3.341667,153.411921,
403,3.350000,153.519248,
404,3.358333,154.158762,
405,3.366667,154.668880,
406,3.375000,154.829683,
407,3.383333,154.722417,
408,3.391667,154.450481,
409,3.400000,154.082371,
410,3.408333,153.802468,
411,3.416667,153.966852,
412,3.425000,154.865661,
413,3.433333,156.367625,
414,3.441667,157.842382,
415,3.450000,158.525899,
416,3.458333,158.006153,
417,3.466667,156.464766,
418,3.475000,154.645766,
419,3.483333,153.499580,
420,3.491667,153.633503,
421,3.500000,154.945566,
422,3.508333,156.673890,
423,3.516667,157.884110,
424,3.525000,158.097647,
425,3.533333,157.575771,
426,3.541667,157.064666,
427,3.550000,157.121373,
428,3.558333,157.572659,
429,3.566667,157.724722,
430,3.575000,157.134551,
431,3.583333,156.145826,
432,3.591667,155.647891,
433,3.600000,156.199722,
434,3.608333,157.402769,
435,3.616667,158.231005,
436,3.625000,157.937716,
437,3.633333,156.605165,
438,3.641667,155.008444,
439,3.650000,153.973507,
440,3.658333,153.769103,
441,3.666667,154.079571,
442,3.675000,154.439289,
443,3.683333,154.620263,
444,3.691667,154.664503,
445,3.700000,154.659584,
446,3.708333,154.564039,
447,3.716667,154.282194,
448,3.725000,153.904767,
449,3.733333,153.829994,
450,3.741667,154.544535,
451,3.750000,156.168161,
452,3.758333,158.190957,
453,3.766667,159.771635,
454,3.775000,160.387290,
455,3.783333,160.171546,
456,3.791667,159.708745,
457,3.800000,159.505907,
458,3.808333,159.565822,
459,3.816667,159.513380,
460,3.825000,159.093144,
461,3.833333,158.440531,
462,3.841667,157.860576,
463,3.850000,157.416036,
464,3.858333,156.883633,
465,3.866667,156.180400,
466,3.875000,155.719518,
467,3.883333,156.153969,
468,3.891667,157.645585,
469,3.900000,159.464895,
470,3.908333,160.488964,
471,3.916667,160.051704,
472,3.925000,158.278320,
473,3.933333,155.976584,
474,3.941667,154.112750,
475,3.950000,153.197745,
476,3.958333,153.207801,
477,3.966667,153.892592,
478,3.975000,154.995797,
479,3.983333,156.255696,
480,3.991667,157.384269,
481,4.000000,158.159197,
482,4.008333,158.513229,
483,4.016667,158.489617,
484,4.025000,158.145560,
485,4.033333,157.574229,
486,4.041667,157.023020,
487,4.050000,156.857404,
488,4.058333,157.242137,
489,4.066667,157.844633,
490,4.075000,157.999406,
491,4.083333,157.282251,
492,4.091667,155.986356,
493,4.100000,155.062756,
494,4.108333,155.433483,
495,4.116667,157.233447,
496,4.125000,159.672507,
497,4.133333,161.614969,
498,4.141667,162.317701,
499,4.150000,161.610860,
500,4.158333,159.737193,
501,4.166667,157.368622,
502,4.175000,155.420342,
503,4.183333,154.578784,
504,4.191667,155.005603,
505,4.200000,156.409661,
506,4.208333,158.311065,
507,4.216667,160.220376,
508,4.225000,161.650999,
509,4.233333,162.130277,
510,4.241667,161.296750,
511,4.250000,159.102538,
512,4.258333,156.175252,
513,4.266667,153.764128,
514,4.275000,152.970231,
515,4.283333,154.005095,
516,4.291667,156.071191,
517,4.300000,157.900023,
518,4.308333,158.561385,
519,4.316667,157.897158,
520,4.325000,156.417411,
