"ÉfÅ[É^ID","éûä‘(s)","MP joint(deg)",
1,0.000000,160.740344,
2,0.008333,160.791417,
3,0.016667,160.851461,
4,0.025000,160.908192,
5,0.033333,160.956967,
6,0.041667,161.002029,
7,0.050000,161.047900,
8,0.058333,161.091689,
9,0.066667,161.127048,
10,0.075000,161.154689,
11,0.083333,161.182088,
12,0.091667,161.207175,
13,0.100000,161.206697,
14,0.108333,161.149900,
15,0.116667,161.027568,
16,0.125000,160.870084,
17,0.133333,160.734699,
18,0.141667,160.662462,
19,0.150000,160.645021,
20,0.158333,160.640341,
21,0.166667,160.615245,
22,0.175000,160.566428,
23,0.183333,160.508543,
24,0.191667,160.453106,
25,0.200000,160.400849,
26,0.208333,160.347640,
27,0.216667,160.290471,
28,0.225000,160.227306,
29,0.233333,160.155302,
30,0.241667,160.071763,
31,0.250000,159.976663,
32,0.258333,159.874366,
33,0.266667,159.774062,
34,0.275000,159.688229,
35,0.283333,159.628027,
36,0.291667,159.597280,
37,0.300000,159.590435,
38,0.308333,159.597679,
39,0.316667,159.612853,
40,0.325000,159.636597,
41,0.333333,159.672888,
42,0.341667,159.723898,
43,0.350000,159.787745,
44,0.358333,159.858601,
45,0.366667,159.927265,
46,0.375000,159.983274,
47,0.383333,160.019916,
48,0.391667,160.039074,
49,0.400000,160.050597,
50,0.408333,160.065742,
51,0.416667,160.090465,
52,0.425000,160.124056,
53,0.433333,160.162734,
54,0.441667,160.203498,
55,0.450000,160.244787,
56,0.458333,160.284640,
57,0.466667,160.319228,
58,0.475000,160.343850,
59,0.483333,160.355686,
60,0.491667,160.355697,
61,0.500000,160.348059,
62,0.508333,160.337894,
63,0.516667,160.328913,
64,0.525000,160.321744,
65,0.533333,160.313246,
66,0.541667,160.297728,
67,0.550000,160.270732,
68,0.558333,160.233531,
69,0.566667,160.194104,
70,0.575000,160.162181,
71,0.583333,160.141594,
72,0.591667,160.126772,
73,0.600000,160.107213,
74,0.608333,160.076776,
75,0.616667,160.039906,
76,0.625000,160.008924,
77,0.633333,159.993975,
78,0.641667,159.994067,
79,0.650000,159.997465,
80,0.658333,159.991708,
81,0.666667,159.974365,
82,0.675000,159.954435,
83,0.683333,159.943359,
84,0.691667,159.945056,
85,0.700000,159.954756,
86,0.708333,159.966044,
87,0.716667,159.976925,
88,0.725000,159.988514,
89,0.733333,159.999533,
90,0.741667,160.004550,
91,0.750000,159.998564,
92,0.758333,159.982467,
93,0.766667,159.963159,
94,0.775000,159.948486,
95,0.783333,159.941975,
96,0.791667,159.941256,
97,0.800000,159.940248,
98,0.808333,159.933040,
99,0.816667,159.917449,
100,0.825000,159.896562,
101,0.833333,159.877158,
102,0.841667,159.865801,
103,0.850000,159.865293,
104,0.858333,159.873872,
105,0.866667,159.887101,
106,0.875000,159.900594,
107,0.883333,159.911964,
108,0.891667,159.921456,
109,0.900000,159.931187,
110,0.908333,159.943197,
111,0.916667,159.957427,
112,0.925000,159.971463,
113,0.933333,159.982702,
114,0.941667,159.990953,
115,0.950000,159.998434,
116,0.958333,160.006691,
117,0.966667,160.013659,
118,0.975000,160.014504,
119,0.983333,160.006030,
120,0.991667,159.990489,
121,1.000000,159.975071,
122,1.008333,159.967357,
123,1.016667,159.970455,
124,1.025000,159.981542,
125,1.033333,159.994694,
126,1.041667,160.005645,
127,1.050000,160.014496,
128,1.058333,160.024079,
129,1.066667,160.035676,
130,1.075000,160.046755,
131,1.083333,160.053312,
132,1.091667,160.054202,
133,1.100000,160.052656,
134,1.108333,160.053684,
135,1.116667,160.060608,
136,1.125000,160.073908,
137,1.133333,160.092175,
138,1.141667,160.113103,
139,1.150000,160.134057,
140,1.158333,160.153026,
141,1.166667,160.169609,
142,1.175000,160.184657,
143,1.183333,160.198834,
144,1.191667,160.212212,
145,1.200000,160.225464,
146,1.208333,160.240325,
147,1.216667,160.257636,
148,1.225000,160.275478,
149,1.233333,160.290902,
150,1.241667,160.304083,
151,1.250000,160.319645,
152,1.258333,160.342812,
153,1.266667,160.374359,
154,1.275000,160.409732,
155,1.283333,160.442595,
156,1.291667,160.468468,
157,1.300000,160.485609,
158,1.308333,160.494297,
159,1.316667,160.496561,
160,1.325000,160.496031,
161,1.333333,160.496544,
162,1.341667,160.500062,
163,1.350000,160.505982,
164,1.358333,160.512531,
165,1.366667,160.518528,
166,1.375000,160.523840,
167,1.383333,160.528729,
168,1.391667,160.533390,
169,1.400000,160.538106,
170,1.408333,160.543306,
171,1.416667,160.548898,
172,1.425000,160.553549,
173,1.433333,160.555131,
174,1.441667,160.552330,
175,1.450000,160.545833,
176,1.458333,160.537811,
177,1.466667,160.530548,
178,1.475000,160.526155,
179,1.483333,160.527498,
180,1.491667,160.538116,
181,1.500000,160.559842,
182,1.508333,160.590189,
183,1.516667,160.622656,
184,1.525000,160.650017,
185,1.533333,160.667656,
186,1.541667,160.674830,
187,1.550000,160.674238,
188,1.558333,160.670688,
189,1.566667,160.668971,
190,1.575000,160.671569,
191,1.583333,160.677792,
192,1.591667,160.685202,
193,1.600000,160.692083,
194,1.608333,160.698639,
195,1.616667,160.705984,
196,1.625000,160.714237,
197,1.633333,160.721682,
198,1.641667,160.725801,
199,1.650000,160.725376,
200,1.658333,160.721903,
201,1.666667,160.719046,
202,1.675000,160.720538,
203,1.683333,160.728080,
204,1.691667,160.740429,
205,1.700000,160.753998,
206,1.708333,160.764740,
207,1.716667,160.770711,
208,1.725000,160.773896,
209,1.733333,160.779385,
210,1.741667,160.791297,
211,1.750000,160.808383,
212,1.758333,160.824051,
213,1.766667,160.831697,
214,1.775000,160.830238,
215,1.783333,160.824222,
216,1.791667,160.819079,
217,1.800000,160.817152,
218,1.808333,160.817927,
219,1.816667,160.820195,
220,1.825000,160.822586,
221,1.833333,160.822753,
222,1.841667,160.817993,
223,1.850000,160.807734,
224,1.858333,160.794915,
225,1.866667,160.784079,
226,1.875000,160.778029,
227,1.883333,160.776566,
228,1.891667,160.778100,
229,1.900000,160.781923,
230,1.908333,160.788832,
231,1.916667,160.799840,
232,1.925000,160.814359,
233,1.933333,160.829640,
234,1.941667,160.842293,
235,1.950000,160.850757,
236,1.958333,160.856129,
237,1.966667,160.860222,
238,1.975000,160.863266,
239,1.983333,160.864579,
240,1.991667,160.865417,
241,2.000000,160.869478,
242,2.008333,160.879035,
243,2.016667,160.890955,
244,2.025000,160.898419,
