"ÉfÅ[É^ID","éûä‘(s)","MP joint(deg)",
1,0.000000,166.201128,
2,0.008333,166.234367,
3,0.016667,166.254579,
4,0.025000,166.265587,
5,0.033333,166.276694,
6,0.041667,166.293825,
7,0.050000,166.314029,
8,0.058333,166.326908,
9,0.066667,166.320784,
10,0.075000,166.289540,
11,0.083333,166.237222,
12,0.091667,166.178142,
13,0.100000,166.130700,
14,0.108333,166.107037,
15,0.116667,166.105765,
16,0.125000,166.114513,
17,0.133333,166.120562,
18,0.141667,166.119924,
19,0.150000,166.117174,
20,0.158333,166.118153,
21,0.166667,166.124000,
22,0.175000,166.131406,
23,0.183333,166.136399,
24,0.191667,166.136942,
25,0.200000,166.133308,
26,0.208333,166.127758,
27,0.216667,166.123668,
28,0.225000,166.123501,
29,0.233333,166.127019,
30,0.241667,166.132078,
31,0.250000,166.137445,
32,0.258333,166.144120,
33,0.266667,166.153403,
34,0.275000,166.164184,
35,0.283333,166.173133,
36,0.291667,166.177969,
37,0.300000,166.180070,
38,0.308333,166.183210,
39,0.316667,166.189791,
40,0.325000,166.198835,
41,0.333333,166.207736,
42,0.341667,166.215345,
43,0.350000,166.222693,
44,0.358333,166.230774,
45,0.366667,166.238277,
46,0.375000,166.242097,
47,0.383333,166.240158,
48,0.391667,166.233484,
49,0.400000,166.225355,
50,0.408333,166.218631,
51,0.416667,166.214216,
52,0.425000,166.212248,
53,0.433333,166.214348,
54,0.441667,166.223827,
55,0.450000,166.242835,
56,0.458333,166.269043,
57,0.466667,166.295632,
58,0.475000,166.315425,
59,0.483333,166.325765,
60,0.491667,166.329627,
61,0.500000,166.331763,
62,0.508333,166.333293,
63,0.516667,166.329642,
64,0.525000,166.313888,
65,0.533333,166.282935,
66,0.541667,166.241470,
67,0.550000,166.200406,
68,0.558333,166.170800,
69,0.566667,166.157689,
70,0.575000,166.158177,
71,0.583333,166.164652,
72,0.591667,166.170117,
73,0.600000,166.171391,
74,0.608333,166.168352,
75,0.616667,166.161102,
76,0.625000,166.148611,
77,0.633333,166.130446,
78,0.641667,166.109575,
79,0.650000,166.092558,
80,0.658333,166.085706,
81,0.666667,166.089986,
82,0.675000,166.099469,
83,0.683333,166.105408,
84,0.691667,166.102875,
85,0.700000,166.094236,
86,0.708333,166.086356,
87,0.716667,166.084128,
88,0.725000,166.086130,
89,0.733333,166.086156,
90,0.741667,166.078967,
91,0.750000,166.065057,
92,0.758333,166.050434,
93,0.766667,166.041847,
94,0.775000,166.041504,
95,0.783333,166.045390,
96,0.791667,166.046203,
97,0.800000,166.038425,
98,0.808333,166.021703,
99,0.816667,166.000356,
100,0.825000,165.979857,
101,0.833333,165.963201,
102,0.841667,165.949823,
103,0.850000,165.937521,
104,0.858333,165.925583,
105,0.866667,165.916679,
106,0.875000,165.916189,
107,0.883333,165.929287,
108,0.891667,165.957340,
109,0.900000,165.995705,
110,0.908333,166.034476,
111,0.916667,166.062518,
112,0.925000,166.073056,
113,0.933333,166.067267,
114,0.941667,166.052791,
115,0.950000,166.037758,
116,0.958333,166.024657,
117,0.966667,166.008574,
118,0.975000,165.980819,
119,0.983333,165.935084,
120,0.991667,165.872020,
121,1.000000,165.800033,
122,1.008333,165.732807,
123,1.016667,165.685021,
124,1.025000,165.667410,
125,1.033333,165.682311,
126,1.041667,165.721587,
127,1.050000,165.768830,
128,1.058333,165.805823,
129,1.066667,165.820250,
130,1.075000,165.810436,
131,1.083333,165.784577,
132,1.091667,165.755194,
133,1.100000,165.732165,
134,1.108333,165.718082,
135,1.116667,165.708104,
136,1.125000,165.694015,
137,1.133333,165.670026,
138,1.141667,165.636778,
139,1.150000,165.600909,
140,1.158333,165.570372,
141,1.166667,165.548823,
142,1.175000,165.533357,
143,1.183333,165.517427,
144,1.191667,165.496695,
145,1.200000,165.473092,
146,1.208333,165.453792,
147,1.216667,165.446042,
148,1.225000,165.452107,
149,1.233333,165.468168,
150,1.241667,165.487414,
151,1.250000,165.504215,
152,1.258333,165.516074,
153,1.266667,165.522631,
154,1.275000,165.523703,
155,1.283333,165.518693,
156,1.291667,165.507742,
157,1.300000,165.493123,
158,1.308333,165.479194,
159,1.316667,165.470686,
160,1.325000,165.470549,
161,1.333333,165.478863,
162,1.341667,165.493418,
163,1.350000,165.511435,
164,1.358333,165.531286,
165,1.366667,165.553220,
166,1.375000,165.578728,
167,1.383333,165.609092,
168,1.391667,165.644248,
169,1.400000,165.682750,
170,1.408333,165.722586,
171,1.416667,165.761800,
172,1.425000,165.798239,
173,1.433333,165.829028,
174,1.441667,165.851040,
175,1.450000,165.862784,
176,1.458333,165.866276,
177,1.466667,165.866753,
178,1.475000,165.869654,
179,1.483333,165.876894,
180,1.491667,165.885516,
181,1.500000,165.890094,
182,1.508333,165.887146,
183,1.516667,165.877985,
184,1.525000,165.867629,
185,1.533333,165.860703,
186,1.541667,165.857832,
187,1.550000,165.855607,
188,1.558333,165.850049,
189,1.566667,165.840435,
190,1.575000,165.830029,
191,1.583333,165.823141,
192,1.591667,165.821235,
193,1.600000,165.821510,
194,1.608333,165.818929,
195,1.616667,165.809476,
196,1.625000,165.791658,
197,1.633333,165.765469,
198,1.641667,165.730746,
199,1.650000,165.687321,
200,1.658333,165.637168,
201,1.666667,165.586321,
202,1.675000,165.544039,
203,1.683333,165.518838,
204,1.691667,165.513552,
205,1.700000,165.522680,
206,1.708333,165.534236,
207,1.716667,165.535787,
208,1.725000,165.521674,
209,1.733333,165.496937,
210,1.741667,165.474835,
211,1.750000,165.468743,
212,1.758333,165.483439,
213,1.766667,165.511823,
214,1.775000,165.539485,
215,1.783333,165.553685,
216,1.791667,165.550156,
217,1.800000,165.533493,
218,1.808333,165.512589,
219,1.816667,165.495979,
220,1.825000,165.490409,
221,1.833333,165.501734,
222,1.841667,165.535004,
223,1.850000,165.592144,
224,1.858333,165.668995,
225,1.866667,165.754874,
226,1.875000,165.835919,
227,1.883333,165.900437,
228,1.891667,165.943201,
229,1.900000,165.966422,
230,1.908333,165.977000,
231,1.916667,165.981736,
232,1.925000,165.983663,
233,1.933333,165.981933,
234,1.941667,165.974950,
235,1.950000,165.963946,
236,1.958333,165.953959,
237,1.966667,165.951450,
238,1.975000,165.960367,
239,1.983333,165.979556,
240,1.991667,166.003256,
241,2.000000,166.024151,
242,2.008333,166.036830,
243,2.016667,166.039626,
244,2.025000,166.034331,
245,2.033333,166.024847,
246,2.041667,166.015944,
247,2.050000,166.012240,
248,2.058333,166.016735,
249,2.066667,166.029003,
250,2.075000,166.044487,
251,2.083333,166.056368,
252,2.091667,166.059473,
253,2.100000,166.053631,
254,2.108333,166.043879,
255,2.116667,166.037170,
256,2.125000,166.037717,
257,2.133333,166.043952,
258,2.141667,166.048978,
259,2.150000,166.044467,
260,2.158333,166.025986,
261,2.166667,165.996481,
262,2.175000,165.965165,
263,2.183333,165.941960,
264,2.191667,165.931197,
265,2.200000,165.929321,
266,2.208333,165.928376,
267,2.216667,165.922278,
268,2.225000,165.910795,
269,2.233333,165.898496,
270,2.241667,165.890390,
271,2.250000,165.888240,
272,2.258333,165.890163,
273,2.266667,165.893009,
274,2.275000,165.895214,
275,2.283333,165.898085,
276,2.291667,165.904919,
277,2.300000,165.918580,
278,2.308333,165.938908,
279,2.316667,165.961576,
280,2.325000,165.979579,
281,2.333333,165.987098,
282,2.341667,165.983457,
283,2.350000,165.974130,
284,2.358333,165.967411,
285,2.366667,165.968688,
286,2.375000,165.976652,
287,2.383333,165.984649,
288,2.391667,165.986238,
289,2.400000,165.980252,
290,2.408333,165.971035,
291,2.416667,165.963955,
292,2.425000,165.960629,
293,2.433333,165.958310,
294,2.441667,165.953596,
295,2.450000,165.946551,
296,2.458333,165.941283,
297,2.466667,165.942703,
298,2.475000,165.952612,
299,2.483333,165.968331,
300,2.491667,165.984431,
301,2.500000,165.995615,
302,2.508333,165.998598,
303,2.516667,165.992453,
304,2.525000,165.978310,
305,2.533333,165.959277,
306,2.541667,165.940360,
307,2.550000,165.927369,
308,2.558333,165.924500,
309,2.566667,165.931879,
310,2.575000,165.945150,
311,2.583333,165.957877,
312,2.591667,165.965053,
313,2.600000,165.964946,
314,2.608333,165.958101,
315,2.616667,165.945192,
316,2.625000,165.926401,
317,2.633333,165.903123,
318,2.641667,165.879929,
319,2.650000,165.864064,
320,2.658333,165.861795,
321,2.666667,165.873889,
322,2.675000,165.893580,
323,2.683333,165.909122,
324,2.691667,165.910188,
325,2.700000,165.894706,
326,2.708333,165.871624,
327,2.716667,165.856838,
328,2.725000,165.863764,
329,2.733333,165.894290,
330,2.741667,165.936587,
331,2.750000,165.971987,
332,2.758333,165.986584,
333,2.766667,165.979466,
334,2.775000,165.961953,
335,2.783333,165.948890,
336,2.791667,165.948679,
337,2.800000,165.958951,
338,2.808333,165.970002,
339,2.816667,165.972404,
340,2.825000,165.962972,
341,2.833333,165.945567,
342,2.841667,165.927599,
343,2.850000,165.915615,
344,2.858333,165.912677,
345,2.866667,165.917924,
346,2.875000,165.927455,
347,2.883333,165.936090,
348,2.891667,165.939894,
349,2.900000,165.938555,
350,2.908333,165.935741,
351,2.916667,165.936516,
352,2.925000,165.943518,
353,2.933333,165.955175,
354,2.941667,165.967517,
355,2.950000,165.977555,
356,2.958333,165.984685,
357,2.966667,165.989007,
358,2.975000,165.989165,
359,2.983333,165.982984,
360,2.991667,165.970725,
361,3.000000,165.957221,
362,3.008333,165.949686,
363,3.016667,165.952580,
364,3.025000,165.964479,
365,3.033333,165.980145,
366,3.041667,165.995529,
367,3.050000,166.010170,
368,3.058333,166.024454,
369,3.066667,166.035229,
370,3.075000,166.035545,
371,3.083333,166.019963,
372,3.091667,165.990528,
373,3.100000,165.957169,
374,3.108333,165.931474,
375,3.116667,165.919046,
376,3.125000,165.916575,
377,3.133333,165.915200,
378,3.141667,165.906675,
379,3.150000,165.887734,
380,3.158333,165.860685,
381,3.166667,165.831188,
382,3.175000,165.805249,
383,3.183333,165.786851,
384,3.191667,165.776932,
385,3.200000,165.773922,
386,3.208333,165.775453,
387,3.216667,165.780159,
388,3.225000,165.788343,
389,3.233333,165.801078,
390,3.241667,165.818458,
391,3.250000,165.838336,
392,3.258333,165.856583,
393,3.266667,165.868942,
394,3.275000,165.873441,
395,3.283333,165.871756,
396,3.291667,165.868345,
397,3.300000,165.867662,
398,3.308333,165.871328,
399,3.316667,165.877398,
400,3.325000,165.882384,
401,3.333333,165.884389,
402,3.341667,165.884680,
403,3.350000,165.886301,
404,3.358333,165.891122,
405,3.366667,165.898325,
406,3.375000,165.905861,
407,3.383333,165.912984,
408,3.391667,165.920454,
409,3.400000,165.927552,
410,3.408333,165.929342,
411,3.416667,165.918460,
412,3.425000,165.891322,
413,3.433333,165.853236,
414,3.441667,165.816747,
415,3.450000,165.793627,
416,3.458333,165.787127,
417,3.466667,165.791000,
418,3.475000,165.795424,
419,3.483333,165.794067,
420,3.491667,165.786721,
421,3.500000,165.777046,
422,3.508333,165.768996,
423,3.516667,165.764969,
424,3.525000,165.765641,
425,3.533333,165.770029,
426,3.541667,165.775546,
427,3.550000,165.779088,
428,3.558333,165.779277,
429,3.566667,165.778008,
430,3.575000,165.779262,
431,3.583333,165.785509,
432,3.591667,165.794648,
433,3.600000,165.800390,
434,3.608333,165.796092,
435,3.616667,165.779106,
436,3.625000,165.752420,
437,3.633333,165.722749,
438,3.641667,165.696881,
439,3.650000,165.678842,
440,3.658333,165.669197,
441,3.666667,165.666187,
442,3.675000,165.667495,
443,3.683333,165.671441,
444,3.691667,165.676976,
445,3.700000,165.682795,
446,3.708333,165.686833,
447,3.716667,165.687148,
448,3.725000,165.683755,
449,3.733333,165.679583,
450,3.741667,165.679304,
451,3.750000,165.686860,
452,3.758333,165.703769,
453,3.766667,165.729177,
454,3.775000,165.760707,
455,3.783333,165.794818,
456,3.791667,165.826966,
457,3.800000,165.852766,
458,3.808333,165.870093,
459,3.816667,165.880451,
460,3.825000,165.888208,
461,3.833333,165.898359,
462,3.841667,165.914483,
463,3.850000,165.937605,
464,3.858333,165.965550,
465,3.866667,165.992957,
466,3.875000,166.013140,
467,3.883333,166.021866,
468,3.891667,166.020266,
469,3.900000,166.013504,
470,3.908333,166.005530,
471,3.916667,165.994958,
472,3.925000,165.976871,
473,3.933333,165.949336,
474,3.941667,165.917772,
475,3.950000,165.891735,
476,3.958333,165.876467,
477,3.966667,165.867446,
478,3.975000,165.853733,
479,3.983333,165.827371,
480,3.991667,165.790320,
481,4.000000,165.753018,
482,4.008333,165.726502,
483,4.016667,165.715192,
484,4.025000,165.715566,
485,4.033333,165.720222,
486,4.041667,165.723007,
487,4.050000,165.721674,
488,4.058333,165.717538,
489,4.066667,165.713521,
490,4.075000,165.711914,
491,4.083333,165.712714,
492,4.091667,165.713417,
493,4.100000,165.710881,
494,4.108333,165.704610,
495,4.116667,165.699086,
496,4.125000,165.702622,
497,4.133333,165.722364,
498,4.141667,165.758367,
499,4.150000,165.801178,
500,4.158333,165.835626,
501,4.166667,165.849231,
502,4.175000,165.839934,
503,4.183333,165.817649,
504,4.191667,165.798212,
505,4.200000,165.793683,
506,4.208333,165.805546,
507,4.216667,165.825140,
508,4.225000,165.840319,
509,4.233333,165.843239,
510,4.241667,165.834019,
511,4.250000,165.818731,
512,4.258333,165.804257,
513,4.266667,165.794146,
514,4.275000,165.787968,
515,4.283333,165.783730,
516,4.291667,165.780764,
517,4.300000,165.780429,
518,4.308333,165.783906,
519,4.316667,165.789107,
520,4.325000,165.789998,
521,4.333333,165.780034,
522,4.341667,165.757793,
523,4.350000,165.730211,
524,4.358333,165.709894,
525,4.366667,165.707419,
526,4.375000,165.723824,
527,4.383333,165.748964,
528,4.391667,165.767268,
529,4.400000,165.767023,
530,4.408333,165.746758,
531,4.416667,165.714555,
532,4.425000,165.681252,
533,4.433333,165.652720,
534,4.441667,165.626629,
535,4.450000,165.595573,
536,4.458333,165.553779,
537,4.466667,165.502321,
538,4.475000,165.449317,
539,4.483333,165.405560,
540,4.491667,165.379034,
541,4.500000,165.371745,
542,4.508333,165.379793,
543,4.516667,165.395385,
544,4.525000,165.409294,
545,4.533333,165.413403,
546,4.541667,165.403310,
547,4.550000,165.380115,
548,4.558333,165.349941,
549,4.566667,165.320999,
550,4.575000,165.299935,
551,4.583333,165.289670,
552,4.591667,165.289390,
553,4.600000,165.295668,
554,4.608333,165.303621,
555,4.616667,165.307977,
556,4.625000,165.304310,
557,4.633333,165.290115,
558,4.641667,165.264957,
559,4.650000,165.229647,
560,4.658333,165.185518,
561,4.666667,165.134834,
562,4.675000,165.081978,
563,4.683333,165.033883,
564,4.691667,164.998621,
565,4.700000,164.982777,
566,4.708333,164.989285,
567,4.716667,165.016952,
568,4.725000,165.061378,
569,4.733333,165.115989,
570,4.741667,165.172382,
571,4.750000,165.220688,
572,4.758333,165.251350,
573,4.766667,165.258461,
574,4.775000,165.242698,
575,4.783333,165.211237,
576,4.791667,165.174050,
577,4.800000,165.139110,
578,4.808333,165.110119,
579,4.816667,165.087977,
580,4.825000,165.073666,
581,4.833333,165.069023,
582,4.841667,165.074500,
583,4.850000,165.086579,
584,4.858333,165.098314,
585,4.866667,165.103426,
586,4.875000,165.100693,
587,4.883333,165.094743,
588,4.891667,165.092542,
589,4.900000,165.098689,
590,4.908333,165.113292,
591,4.916667,165.133358,
592,4.925000,165.155412,
593,4.933333,165.176758,
594,4.941667,165.195122,
595,4.950000,165.208400,
596,4.958333,165.215814,
597,4.966667,165.219622,
598,4.975000,165.225154,
599,4.983333,165.238027,
600,4.991667,165.260046,
601,5.000000,165.286999,
602,5.008333,165.310563,
603,5.016667,165.323289,
604,5.025000,165.323095,
605,5.033333,165.313953,
606,5.041667,165.302556,
607,5.050000,165.293842,
608,5.058333,165.288618,
609,5.066667,165.284251,
610,5.075000,165.276987,
611,5.083333,165.264045,
612,5.091667,165.244769,
613,5.100000,165.220929,
614,5.108333,165.196136,
615,5.116667,165.174264,
616,5.125000,165.157533,
617,5.133333,165.145548,
618,5.141667,165.136052,
619,5.150000,165.126715,
620,5.158333,165.116462,
621,5.166667,165.105668,
622,5.175000,165.095791,
623,5.183333,165.089164,
624,5.191667,165.088565,
625,5.200000,165.095749,
626,5.208333,165.109296,
627,5.216667,165.123686,
628,5.225000,165.131333,
629,5.233333,165.126973,
630,5.241667,165.111388,
631,5.250000,165.091245,
632,5.258333,165.074549,
633,5.266667,165.064768,
634,5.275000,165.058309,
635,5.283333,165.047962,
636,5.291667,165.030170,
637,5.300000,165.010140,
638,5.308333,164.999592,
639,5.316667,165.007718,
640,5.325000,165.032383,
641,5.333333,165.059484,
642,5.341667,165.071996,
643,5.350000,165.061823,
644,5.358333,165.034941,
645,5.366667,165.006181,
646,5.375000,164.988775,
647,5.383333,164.987163,
648,5.391667,164.997388,
649,5.400000,165.012482,
650,5.408333,165.027273,
651,5.416667,165.039405,
652,5.425000,165.047699,
653,5.433333,165.050808,
654,5.441667,165.047748,
655,5.450000,165.039478,
656,5.458333,165.029684,
657,5.466667,165.023608,
658,5.475000,165.025356,
659,5.483333,165.035357,
660,5.491667,165.049669,
661,5.500000,165.061821,
662,5.508333,165.066315,
663,5.516667,165.061923,
664,5.525000,165.052698,
665,5.533333,165.045472,
666,5.541667,165.044498,
667,5.550000,165.046292,
668,5.558333,165.038843,
669,5.566667,165.007351,
670,5.575000,164.943798,
671,5.583333,164.853683,
672,5.591667,164.754346,
673,5.600000,164.665625,
674,5.608333,164.599869,
675,5.616667,164.558419,
676,5.625000,164.535612,
677,5.633333,164.525060,
678,5.641667,164.522532,
679,5.650000,164.524693,
680,5.658333,164.527413,
681,5.666667,164.526746,
682,5.675000,164.521640,
683,5.683333,164.515068,
684,5.691667,164.511935,
685,5.700000,164.515430,
686,5.708333,164.524809,
687,5.716667,164.536101,
688,5.725000,164.544991,
689,5.733333,164.549904,
690,5.741667,164.553438,
691,5.750000,164.561023,
