NO_OF_FRAMES	1000
NO_OF_CAMERAS	3
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2016-09-15, 10:48:24	4200.49117616
DATA_INCLUDED	3D
MARKER_NAMES	Distal phalanx	DIP joint	PIP joint	MP joint	Scaphoid
119.337	170.180	188.155	111.702	190.185	199.656	103.642	210.957	208.842	99.547	251.587	222.749	94.673	284.075	227.634
119.321	170.171	188.148	111.682	190.174	199.657	103.629	210.947	208.848	99.539	251.574	222.748	94.663	284.070	227.637
119.308	170.162	188.157	111.665	190.165	199.658	103.616	210.931	208.843	99.522	251.566	222.752	94.652	284.063	227.644
119.291	170.146	188.164	111.660	190.154	199.667	103.609	210.920	208.862	99.512	251.551	222.769	94.643	284.047	227.657
119.276	170.133	188.181	111.643	190.140	199.689	103.592	210.904	208.878	99.502	251.535	222.792	94.633	284.036	227.676
119.242	170.107	188.217	111.615	190.118	199.721	103.567	210.889	208.905	99.483	251.522	222.815	94.618	284.019	227.695
119.221	170.084	188.253	111.588	190.100	199.754	103.546	210.872	208.939	99.466	251.510	222.841	94.603	284.009	227.715
119.221	170.066	188.235	111.572	190.089	199.819	103.544	210.866	208.959	99.450	251.492	222.861	94.611	284.013	227.737
119.201	170.044	188.263	111.549	190.069	199.851	103.525	210.848	208.987	99.428	251.472	222.885	94.592	283.995	227.764
119.200	170.024	188.289	111.539	190.049	199.885	103.509	210.833	209.010	99.404	251.460	222.904	94.571	283.979	227.789
119.193	170.014	188.303	111.527	190.038	199.908	103.491	210.816	209.026	99.382	251.438	222.921	94.543	283.963	227.808
119.186	170.001	188.316	111.507	190.028	199.916	103.475	210.800	209.038	99.355	251.428	222.935	94.524	283.950	227.816
119.176	169.987	188.320	111.501	190.011	199.931	103.466	210.792	209.046	99.340	251.410	222.948	94.502	283.936	227.822
119.167	169.975	188.313	111.482	190.004	199.919	103.450	210.772	209.045	99.316	251.397	222.945	94.481	283.924	227.830
119.139	169.965	188.302	111.466	189.987	199.923	103.429	210.762	209.040	99.298	251.382	222.944	94.464	283.910	227.823
119.109	169.948	188.296	111.439	189.976	199.916	103.410	210.748	209.038	99.279	251.368	222.947	94.449	283.896	227.819
119.077	169.931	188.283	111.410	189.958	199.911	103.383	210.732	209.032	99.254	251.352	222.933	94.428	283.886	227.815
119.045	169.914	188.271	111.385	189.944	199.906	103.359	210.715	209.021	99.227	251.329	222.926	94.411	283.869	227.806
119.029	169.892	188.259	111.364	189.926	199.895	103.339	210.701	209.010	99.212	251.316	222.916	94.396	283.856	227.800
119.034	169.883	188.241	111.370	189.912	199.881	103.333	210.685	208.993	99.203	251.296	222.905	94.387	283.839	227.793
119.043	169.880	188.225	111.375	189.909	199.865	103.339	210.679	208.979	99.204	251.289	222.894	94.384	283.826	227.783
119.031	169.869	188.219	111.362	189.901	199.861	103.333	210.663	208.980	99.195	251.277	222.895	94.380	283.819	227.787
119.017	169.857	188.214	111.353	189.885	199.860	103.325	210.655	208.975	99.188	251.263	222.898	94.373	283.808	227.795
119.032	169.854	188.205	111.366	189.879	199.862	103.323	210.648	208.975	99.190	251.258	222.908	94.370	283.798	227.800
119.037	169.847	188.219	111.371	189.877	199.875	103.338	210.640	208.994	99.190	251.245	222.921	94.381	283.788	227.818
119.042	169.831	188.261	111.376	189.862	199.915	103.347	210.633	209.032	99.204	251.237	222.955	94.388	283.789	227.837
119.052	169.816	188.314	111.378	189.852	199.958	103.348	210.623	209.075	99.205	251.231	222.994	94.392	283.777	227.865
119.046	169.797	188.363	111.378	189.832	200.009	103.350	210.608	209.117	99.211	251.225	223.037	94.398	283.769	227.893
119.050	169.783	188.411	111.383	189.813	200.059	103.354	210.593	209.159	99.213	251.207	223.068	94.404	283.758	227.927
119.080	169.773	188.445	111.403	189.809	200.084	103.370	210.579	209.200	99.217	251.193	223.108	94.407	283.748	227.957
119.104	169.768	188.477	111.416	189.796	200.115	103.381	210.568	209.230	99.228	251.180	223.138	94.415	283.727	227.999
119.136	169.756	188.503	111.440	189.785	200.145	103.402	210.558	209.264	99.234	251.164	223.164	94.411	283.711	228.020
119.145	169.743	188.537	111.444	189.773	200.170	103.396	210.536	209.290	99.229	251.142	223.198	94.411	283.696	228.058
119.113	169.722	188.571	111.413	189.749	200.211	103.375	210.519	209.329	99.210	251.130	223.222	94.394	283.677	228.087
119.070	169.689	188.618	111.377	189.729	200.252	103.335	210.497	209.364	99.175	251.106	223.256	94.368	283.655	228.112
119.029	169.667	188.641	111.334	189.698	200.283	103.293	210.472	209.384	99.138	251.080	223.280	94.330	283.634	228.136
118.995	169.648	188.660	111.297	189.675	200.294	103.255	210.444	209.402	99.104	251.062	223.294	94.299	283.613	228.151
118.952	169.610	188.680	111.253	189.641	200.322	103.216	210.421	209.421	99.069	251.043	223.308	94.275	283.589	228.165
118.917	169.593	188.685	111.221	189.625	200.326	103.183	210.398	209.431	99.036	251.014	223.324	94.238	283.570	228.173
118.898	169.578	188.684	111.204	189.609	200.331	103.158	210.378	209.428	99.001	250.992	223.334	94.207	283.550	228.187
118.892	169.562	188.675	111.186	189.589	200.324	103.137	210.358	209.427	98.978	250.968	223.343	94.179	283.525	228.191
118.883	169.558	188.657	111.176	189.579	200.313	103.124	210.342	209.421	98.960	250.950	223.345	94.152	283.503	228.208
118.879	169.553	188.630	111.168	189.568	200.304	103.117	210.320	209.422	98.942	250.930	223.349	94.137	283.483	228.219
